Defl_nm_Ex	Defl_pN_Ex	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.916963e+000	-2.914046e+003	
-2.916963e+000	-2.914046e+003	
-2.916963e+000	-2.914046e+003	
-3.002756e+000	-2.999753e+003	
-3.031353e+000	-3.028322e+003	
-2.974158e+000	-2.971184e+003	
-2.888365e+000	-2.885477e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-3.002756e+000	-2.999753e+003	
-3.002756e+000	-2.999753e+003	
-2.916963e+000	-2.914046e+003	
-2.859767e+000	-2.856908e+003	
-2.888365e+000	-2.885477e+003	
-3.002756e+000	-2.999753e+003	
-3.002756e+000	-2.999753e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.974158e+000	-2.971184e+003	
-3.002756e+000	-2.999753e+003	
-2.888365e+000	-2.885477e+003	
-3.002756e+000	-2.999753e+003	
-2.974158e+000	-2.971184e+003	
-2.974158e+000	-2.971184e+003	
-3.002756e+000	-2.999753e+003	
-3.002756e+000	-2.999753e+003	
-2.888365e+000	-2.885477e+003	
-2.974158e+000	-2.971184e+003	
-3.002756e+000	-2.999753e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.974158e+000	-2.971184e+003	
-2.888365e+000	-2.885477e+003	
-2.859767e+000	-2.856908e+003	
-2.831170e+000	-2.828339e+003	
-2.916963e+000	-2.914046e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.888365e+000	-2.885477e+003	
-2.945560e+000	-2.942615e+003	
-3.002756e+000	-2.999753e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.974158e+000	-2.971184e+003	
-2.974158e+000	-2.971184e+003	
-2.974158e+000	-2.971184e+003	
-3.002756e+000	-2.999753e+003	
-2.916963e+000	-2.914046e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-3.031353e+000	-3.028322e+003	
-2.916963e+000	-2.914046e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-3.059951e+000	-3.056891e+003	
-2.916963e+000	-2.914046e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.888365e+000	-2.885477e+003	
-2.888365e+000	-2.885477e+003	
-3.002756e+000	-2.999753e+003	
-2.974158e+000	-2.971184e+003	
-2.859767e+000	-2.856908e+003	
-2.945560e+000	-2.942615e+003	
-2.916963e+000	-2.914046e+003	
-2.974158e+000	-2.971184e+003	
-3.031353e+000	-3.028322e+003	
-2.945560e+000	-2.942615e+003	
-3.031353e+000	-3.028322e+003	
-2.945560e+000	-2.942615e+003	
-2.916963e+000	-2.914046e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.974158e+000	-2.971184e+003	
-2.974158e+000	-2.971184e+003	
-3.002756e+000	-2.999753e+003	
-3.002756e+000	-2.999753e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-3.002756e+000	-2.999753e+003	
-2.945560e+000	-2.942615e+003	
-2.916963e+000	-2.914046e+003	
-2.916963e+000	-2.914046e+003	
-2.974158e+000	-2.971184e+003	
-3.002756e+000	-2.999753e+003	
-3.059951e+000	-3.056891e+003	
-3.002756e+000	-2.999753e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.974158e+000	-2.971184e+003	
-2.916963e+000	-2.914046e+003	
-2.859767e+000	-2.856908e+003	
-2.888365e+000	-2.885477e+003	
-2.916963e+000	-2.914046e+003	
-2.945560e+000	-2.942615e+003	
-3.031353e+000	-3.028322e+003	
-3.002756e+000	-2.999753e+003	
-2.916963e+000	-2.914046e+003	
-2.945560e+000	-2.942615e+003	
-3.002756e+000	-2.999753e+003	
-3.031353e+000	-3.028322e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.916963e+000	-2.914046e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.859767e+000	-2.856908e+003	
-3.002756e+000	-2.999753e+003	
-3.031353e+000	-3.028322e+003	
-3.031353e+000	-3.028322e+003	
-2.974158e+000	-2.971184e+003	
-3.002756e+000	-2.999753e+003	
-3.002756e+000	-2.999753e+003	
-3.031353e+000	-3.028322e+003	
-3.031353e+000	-3.028322e+003	
-2.974158e+000	-2.971184e+003	
-2.974158e+000	-2.971184e+003	
-2.974158e+000	-2.971184e+003	
-2.888365e+000	-2.885477e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-3.002756e+000	-2.999753e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-3.002756e+000	-2.999753e+003	
-2.974158e+000	-2.971184e+003	
-2.974158e+000	-2.971184e+003	
-2.888365e+000	-2.885477e+003	
-3.002756e+000	-2.999753e+003	
-2.916963e+000	-2.914046e+003	
-2.945560e+000	-2.942615e+003	
-3.031353e+000	-3.028322e+003	
-2.974158e+000	-2.971184e+003	
-3.002756e+000	-2.999753e+003	
-2.974158e+000	-2.971184e+003	
-2.916963e+000	-2.914046e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-2.888365e+000	-2.885477e+003	
-3.031353e+000	-3.028322e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-3.002756e+000	-2.999753e+003	
-3.031353e+000	-3.028322e+003	
-3.002756e+000	-2.999753e+003	
-2.916963e+000	-2.914046e+003	
-2.916963e+000	-2.914046e+003	
-2.974158e+000	-2.971184e+003	
-3.002756e+000	-2.999753e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.916963e+000	-2.914046e+003	
-3.002756e+000	-2.999753e+003	
-2.974158e+000	-2.971184e+003	
-3.002756e+000	-2.999753e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.916963e+000	-2.914046e+003	
-2.916963e+000	-2.914046e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-3.059951e+000	-3.056891e+003	
-2.945560e+000	-2.942615e+003	
-2.916963e+000	-2.914046e+003	
-3.002756e+000	-2.999753e+003	
-3.031353e+000	-3.028322e+003	
-3.031353e+000	-3.028322e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-3.002756e+000	-2.999753e+003	
-2.974158e+000	-2.971184e+003	
-3.117146e+000	-3.114030e+003	
-3.031353e+000	-3.028322e+003	
-2.945560e+000	-2.942615e+003	
-3.002756e+000	-2.999753e+003	
-3.117146e+000	-3.114030e+003	
-3.002756e+000	-2.999753e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-3.002756e+000	-2.999753e+003	
-2.916963e+000	-2.914046e+003	
-2.888365e+000	-2.885477e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-3.002756e+000	-2.999753e+003	
-3.031353e+000	-3.028322e+003	
-2.974158e+000	-2.971184e+003	
-2.974158e+000	-2.971184e+003	
-2.916963e+000	-2.914046e+003	
-2.916963e+000	-2.914046e+003	
-2.888365e+000	-2.885477e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-3.059951e+000	-3.056891e+003	
-2.916963e+000	-2.914046e+003	
-2.888365e+000	-2.885477e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-2.916963e+000	-2.914046e+003	
-2.974158e+000	-2.971184e+003	
-3.002756e+000	-2.999753e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-2.888365e+000	-2.885477e+003	
-2.974158e+000	-2.971184e+003	
-3.002756e+000	-2.999753e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-3.002756e+000	-2.999753e+003	
-3.002756e+000	-2.999753e+003	
-3.002756e+000	-2.999753e+003	
-2.974158e+000	-2.971184e+003	
-2.974158e+000	-2.971184e+003	
-2.888365e+000	-2.885477e+003	
-3.059951e+000	-3.056891e+003	
-3.117146e+000	-3.114030e+003	
-3.002756e+000	-2.999753e+003	
-3.059951e+000	-3.056891e+003	
-3.059951e+000	-3.056891e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-3.002756e+000	-2.999753e+003	
-2.945560e+000	-2.942615e+003	
-2.888365e+000	-2.885477e+003	
-2.916963e+000	-2.914046e+003	
-2.916963e+000	-2.914046e+003	
-2.945560e+000	-2.942615e+003	
-3.031353e+000	-3.028322e+003	
-3.002756e+000	-2.999753e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-2.916963e+000	-2.914046e+003	
-2.974158e+000	-2.971184e+003	
-3.031353e+000	-3.028322e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-3.059951e+000	-3.056891e+003	
-3.117146e+000	-3.114030e+003	
-2.916963e+000	-2.914046e+003	
-2.916963e+000	-2.914046e+003	
-2.974158e+000	-2.971184e+003	
-2.974158e+000	-2.971184e+003	
-2.916963e+000	-2.914046e+003	
-2.859767e+000	-2.856908e+003	
-2.888365e+000	-2.885477e+003	
-2.945560e+000	-2.942615e+003	
-2.888365e+000	-2.885477e+003	
-2.945560e+000	-2.942615e+003	
-2.916963e+000	-2.914046e+003	
-2.916963e+000	-2.914046e+003	
-2.945560e+000	-2.942615e+003	
-2.916963e+000	-2.914046e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-3.002756e+000	-2.999753e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-2.916963e+000	-2.914046e+003	
-2.945560e+000	-2.942615e+003	
-3.002756e+000	-2.999753e+003	
-3.002756e+000	-2.999753e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-3.031353e+000	-3.028322e+003	
-2.974158e+000	-2.971184e+003	
-3.031353e+000	-3.028322e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-3.002756e+000	-2.999753e+003	
-2.974158e+000	-2.971184e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-3.002756e+000	-2.999753e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-2.916963e+000	-2.914046e+003	
-2.945560e+000	-2.942615e+003	
-3.002756e+000	-2.999753e+003	
-2.916963e+000	-2.914046e+003	
-3.002756e+000	-2.999753e+003	
-3.031353e+000	-3.028322e+003	
-2.945560e+000	-2.942615e+003	
-2.916963e+000	-2.914046e+003	
-2.974158e+000	-2.971184e+003	
-3.002756e+000	-2.999753e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-3.031353e+000	-3.028322e+003	
-2.945560e+000	-2.942615e+003	
-3.002756e+000	-2.999753e+003	
-2.945560e+000	-2.942615e+003	
-2.916963e+000	-2.914046e+003	
-2.945560e+000	-2.942615e+003	
-3.031353e+000	-3.028322e+003	
-2.974158e+000	-2.971184e+003	
-2.974158e+000	-2.971184e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.974158e+000	-2.971184e+003	
-3.002756e+000	-2.999753e+003	
-3.088549e+000	-3.085460e+003	
-3.002756e+000	-2.999753e+003	
-2.974158e+000	-2.971184e+003	
-3.088549e+000	-3.085460e+003	
-3.002756e+000	-2.999753e+003	
-2.945560e+000	-2.942615e+003	
-3.002756e+000	-2.999753e+003	
-2.916963e+000	-2.914046e+003	
-3.002756e+000	-2.999753e+003	
-2.945560e+000	-2.942615e+003	
-2.916963e+000	-2.914046e+003	
-2.916963e+000	-2.914046e+003	
-2.945560e+000	-2.942615e+003	
-2.888365e+000	-2.885477e+003	
-3.002756e+000	-2.999753e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.974158e+000	-2.971184e+003	
-2.974158e+000	-2.971184e+003	
-3.002756e+000	-2.999753e+003	
-3.031353e+000	-3.028322e+003	
-3.002756e+000	-2.999753e+003	
-2.916963e+000	-2.914046e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.974158e+000	-2.971184e+003	
-3.002756e+000	-2.999753e+003	
-2.945560e+000	-2.942615e+003	
-3.002756e+000	-2.999753e+003	
-2.974158e+000	-2.971184e+003	
-2.859767e+000	-2.856908e+003	
-2.888365e+000	-2.885477e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-2.916963e+000	-2.914046e+003	
-2.974158e+000	-2.971184e+003	
-2.859767e+000	-2.856908e+003	
-2.888365e+000	-2.885477e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.974158e+000	-2.971184e+003	
-2.916963e+000	-2.914046e+003	
-2.916963e+000	-2.914046e+003	
-2.945560e+000	-2.942615e+003	
-2.888365e+000	-2.885477e+003	
-3.031353e+000	-3.028322e+003	
-3.002756e+000	-2.999753e+003	
-2.974158e+000	-2.971184e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.916963e+000	-2.914046e+003	
-2.916963e+000	-2.914046e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-3.031353e+000	-3.028322e+003	
-2.888365e+000	-2.885477e+003	
-3.002756e+000	-2.999753e+003	
-3.031353e+000	-3.028322e+003	
-2.916963e+000	-2.914046e+003	
-2.859767e+000	-2.856908e+003	
-2.916963e+000	-2.914046e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.888365e+000	-2.885477e+003	
-3.002756e+000	-2.999753e+003	
-2.945560e+000	-2.942615e+003	
-2.916963e+000	-2.914046e+003	
-2.945560e+000	-2.942615e+003	
-2.888365e+000	-2.885477e+003	
-2.916963e+000	-2.914046e+003	
-2.888365e+000	-2.885477e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.888365e+000	-2.885477e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-2.916963e+000	-2.914046e+003	
-2.974158e+000	-2.971184e+003	
-2.974158e+000	-2.971184e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-2.916963e+000	-2.914046e+003	
-2.945560e+000	-2.942615e+003	
-3.002756e+000	-2.999753e+003	
-3.002756e+000	-2.999753e+003	
-2.888365e+000	-2.885477e+003	
-2.916963e+000	-2.914046e+003	
-2.974158e+000	-2.971184e+003	
-3.031353e+000	-3.028322e+003	
-2.974158e+000	-2.971184e+003	
-2.888365e+000	-2.885477e+003	
-2.974158e+000	-2.971184e+003	
-3.002756e+000	-2.999753e+003	
-3.002756e+000	-2.999753e+003	
-2.974158e+000	-2.971184e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-2.916963e+000	-2.914046e+003	
-2.916963e+000	-2.914046e+003	
-2.945560e+000	-2.942615e+003	
-3.002756e+000	-2.999753e+003	
-2.945560e+000	-2.942615e+003	
-2.888365e+000	-2.885477e+003	
-2.888365e+000	-2.885477e+003	
-2.974158e+000	-2.971184e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-3.002756e+000	-2.999753e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.916963e+000	-2.914046e+003	
-2.916963e+000	-2.914046e+003	
-3.088549e+000	-3.085460e+003	
-3.002756e+000	-2.999753e+003	
-3.002756e+000	-2.999753e+003	
-2.974158e+000	-2.971184e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.916963e+000	-2.914046e+003	
-2.916963e+000	-2.914046e+003	
-2.916963e+000	-2.914046e+003	
-3.002756e+000	-2.999753e+003	
-2.945560e+000	-2.942615e+003	
-2.916963e+000	-2.914046e+003	
-2.945560e+000	-2.942615e+003	
-2.916963e+000	-2.914046e+003	
-2.888365e+000	-2.885477e+003	
-2.888365e+000	-2.885477e+003	
-2.974158e+000	-2.971184e+003	
-2.916963e+000	-2.914046e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.974158e+000	-2.971184e+003	
-2.916963e+000	-2.914046e+003	
-2.945560e+000	-2.942615e+003	
-3.059951e+000	-3.056891e+003	
-2.974158e+000	-2.971184e+003	
-3.002756e+000	-2.999753e+003	
-2.888365e+000	-2.885477e+003	
-2.831170e+000	-2.828339e+003	
-2.945560e+000	-2.942615e+003	
-3.002756e+000	-2.999753e+003	
-2.945560e+000	-2.942615e+003	
-2.888365e+000	-2.885477e+003	
-2.945560e+000	-2.942615e+003	
-2.916963e+000	-2.914046e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-3.002756e+000	-2.999753e+003	
-2.945560e+000	-2.942615e+003	
-2.916963e+000	-2.914046e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-2.916963e+000	-2.914046e+003	
-2.888365e+000	-2.885477e+003	
-2.916963e+000	-2.914046e+003	
-2.888365e+000	-2.885477e+003	
-2.888365e+000	-2.885477e+003	
-2.888365e+000	-2.885477e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.974158e+000	-2.971184e+003	
-2.974158e+000	-2.971184e+003	
-3.002756e+000	-2.999753e+003	
-3.002756e+000	-2.999753e+003	
-2.888365e+000	-2.885477e+003	
-2.916963e+000	-2.914046e+003	
-2.888365e+000	-2.885477e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-2.916963e+000	-2.914046e+003	
-2.888365e+000	-2.885477e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-2.916963e+000	-2.914046e+003	
-2.888365e+000	-2.885477e+003	
-2.888365e+000	-2.885477e+003	
-2.945560e+000	-2.942615e+003	
-2.916963e+000	-2.914046e+003	
-2.916963e+000	-2.914046e+003	
-2.974158e+000	-2.971184e+003	
-3.002756e+000	-2.999753e+003	
-3.002756e+000	-2.999753e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-3.002756e+000	-2.999753e+003	
-2.974158e+000	-2.971184e+003	
-2.888365e+000	-2.885477e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-2.916963e+000	-2.914046e+003	
-2.945560e+000	-2.942615e+003	
-2.916963e+000	-2.914046e+003	
-2.974158e+000	-2.971184e+003	
-2.916963e+000	-2.914046e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.859767e+000	-2.856908e+003	
-2.888365e+000	-2.885477e+003	
-2.888365e+000	-2.885477e+003	
-2.916963e+000	-2.914046e+003	
-2.945560e+000	-2.942615e+003	
-3.002756e+000	-2.999753e+003	
-2.888365e+000	-2.885477e+003	
-2.916963e+000	-2.914046e+003	
-3.002756e+000	-2.999753e+003	
-3.002756e+000	-2.999753e+003	
-3.002756e+000	-2.999753e+003	
-2.974158e+000	-2.971184e+003	
-2.888365e+000	-2.885477e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-3.031353e+000	-3.028322e+003	
-2.945560e+000	-2.942615e+003	
-2.916963e+000	-2.914046e+003	
-2.974158e+000	-2.971184e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.974158e+000	-2.971184e+003	
-2.916963e+000	-2.914046e+003	
-2.916963e+000	-2.914046e+003	
-2.945560e+000	-2.942615e+003	
-3.002756e+000	-2.999753e+003	
-2.945560e+000	-2.942615e+003	
-2.888365e+000	-2.885477e+003	
-2.916963e+000	-2.914046e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-3.002756e+000	-2.999753e+003	
-3.002756e+000	-2.999753e+003	
-3.002756e+000	-2.999753e+003	
-2.974158e+000	-2.971184e+003	
-2.916963e+000	-2.914046e+003	
-2.916963e+000	-2.914046e+003	
-3.002756e+000	-2.999753e+003	
-3.031353e+000	-3.028322e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-3.002756e+000	-2.999753e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-2.916963e+000	-2.914046e+003	
-2.916963e+000	-2.914046e+003	
-2.916963e+000	-2.914046e+003	
-2.888365e+000	-2.885477e+003	
-2.916963e+000	-2.914046e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-2.888365e+000	-2.885477e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-3.002756e+000	-2.999753e+003	
-2.916963e+000	-2.914046e+003	
-3.031353e+000	-3.028322e+003	
-3.002756e+000	-2.999753e+003	
-2.916963e+000	-2.914046e+003	
-2.831170e+000	-2.828339e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-2.916963e+000	-2.914046e+003	
-2.945560e+000	-2.942615e+003	
-3.002756e+000	-2.999753e+003	
-3.002756e+000	-2.999753e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-3.002756e+000	-2.999753e+003	
-3.031353e+000	-3.028322e+003	
-3.031353e+000	-3.028322e+003	
-3.031353e+000	-3.028322e+003	
-2.916963e+000	-2.914046e+003	
-2.888365e+000	-2.885477e+003	
-2.945560e+000	-2.942615e+003	
-2.916963e+000	-2.914046e+003	
-2.888365e+000	-2.885477e+003	
-2.916963e+000	-2.914046e+003	
-3.002756e+000	-2.999753e+003	
-2.945560e+000	-2.942615e+003	
-2.888365e+000	-2.885477e+003	
-3.002756e+000	-2.999753e+003	
-3.002756e+000	-2.999753e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.974158e+000	-2.971184e+003	
-3.059951e+000	-3.056891e+003	
-2.916963e+000	-2.914046e+003	
-2.974158e+000	-2.971184e+003	
-3.031353e+000	-3.028322e+003	
-3.059951e+000	-3.056891e+003	
-2.916963e+000	-2.914046e+003	
-3.002756e+000	-2.999753e+003	
-3.059951e+000	-3.056891e+003	
-2.974158e+000	-2.971184e+003	
-3.002756e+000	-2.999753e+003	
-3.002756e+000	-2.999753e+003	
-3.002756e+000	-2.999753e+003	
-3.031353e+000	-3.028322e+003	
-3.031353e+000	-3.028322e+003	
-2.916963e+000	-2.914046e+003	
-2.916963e+000	-2.914046e+003	
-2.916963e+000	-2.914046e+003	
-2.916963e+000	-2.914046e+003	
-2.974158e+000	-2.971184e+003	
-2.888365e+000	-2.885477e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-3.002756e+000	-2.999753e+003	
-2.916963e+000	-2.914046e+003	
-2.974158e+000	-2.971184e+003	
-2.916963e+000	-2.914046e+003	
-3.031353e+000	-3.028322e+003	
-3.059951e+000	-3.056891e+003	
-2.888365e+000	-2.885477e+003	
-2.974158e+000	-2.971184e+003	
-3.002756e+000	-2.999753e+003	
-2.916963e+000	-2.914046e+003	
-2.916963e+000	-2.914046e+003	
-2.974158e+000	-2.971184e+003	
-3.031353e+000	-3.028322e+003	
-2.974158e+000	-2.971184e+003	
-2.974158e+000	-2.971184e+003	
-2.888365e+000	-2.885477e+003	
-2.916963e+000	-2.914046e+003	
-2.974158e+000	-2.971184e+003	
-3.002756e+000	-2.999753e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.916963e+000	-2.914046e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.974158e+000	-2.971184e+003	
-3.002756e+000	-2.999753e+003	
-3.002756e+000	-2.999753e+003	
-2.974158e+000	-2.971184e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-3.002756e+000	-2.999753e+003	
-3.002756e+000	-2.999753e+003	
-3.031353e+000	-3.028322e+003	
-3.002756e+000	-2.999753e+003	
-2.945560e+000	-2.942615e+003	
-2.916963e+000	-2.914046e+003	
-2.974158e+000	-2.971184e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-2.945560e+000	-2.942615e+003	
-2.916963e+000	-2.914046e+003	
-3.002756e+000	-2.999753e+003	
-3.031353e+000	-3.028322e+003	
-2.945560e+000	-2.942615e+003	
-2.974158e+000	-2.971184e+003	
-2.888365e+000	-2.885477e+003	
-2.916963e+000	-2.914046e+003	
